index,card,v1,colors,group,icon,petitioner,respondent,altTitle,winner,term,docket,consolidated,scdb,citation,lba,oxford,timeplots,author,majority,minority,argued,decided,category,issue,legalBasis,legalIssue,overruled,overruledBy,quote,quotee,briefs,audio,transcripts,opinion,oyez,wikipedia,conlaw.us,cspan,justices,justiceIDs,dissented,recused
556,N,,,,,Lyng,Automobile Workers,,petitioner,October Term 1987,86-1471,,1987-054,485 U.S. 360,182,,,Byron White,5,3,1987-12-07,1988-03-23,Civil Rights,,Infrequently litigated statutes,"poverty law, constitutional",,,,,,,,,"https://www.oyez.org/cases/1987/86-1471",,,,"William Rehnquist,Byron White,John Paul Stevens,Sandra Day O'Connor,Antonin Scalia",,"William Brennan,Thurgood Marshall,Harry Blackmun",Anthony Kennedy
557,087,33,7,1F,,Employment Division,Smith,,petitioner,October Term 1989,"86-946,88-1213",,1989-061,"485 U.S. 660,494 U.S. 872",196,55,,Antonin Scalia,6,3,"1987-12-08,1989-11-06","1988-04-27,1990-04-17",First Amendment,State Law and Free Exercise of Religion,1st Amendment (free exercise of religion),free exercise of religion,,,"""To make an individual's obligation to obey such a law contingent upon… his religious beliefs…contradicts both constitutional tradition and common sense.""",Justice Antonin Scalia,,"https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1989/88-1213/19900417o_88-1213.delivery.mp3,https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1989/88-1213/19891106a_88-1213.delivery.mp3",,,"https://www.oyez.org/cases/1989/88-1213","https://en.wikipedia.org/wiki/Employment_Division_v._Smith","https://conlaw.us/case/employment-division-v-smith-1990/",,"William Rehnquist,Byron White,John Paul Stevens,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy","103,93,100,101,102,104","William Brennan,Thurgood Marshall,Harry Blackmun",
558,,,,,,California,Greenwood,,petitioner,October Term 1987,86-684,,1987-079,486 U.S. 35,178,,,Byron White,6,2,1988-01-11,1988-05-16,Criminal Procedure,"Search and Seizure and\\Garbage ""Outside the Curtilage""",4th Amendment,search and seizure (other than as pertains to vehicles or Crime Control Act),,,,,,,,,"https://www.oyez.org/cases/1987/86-684",,,,"William Rehnquist,Byron White,Harry Blackmun,John Paul Stevens,Sandra Day O'Connor,Antonin Scalia","93,98,100,101,102,103","William Brennan,Thurgood Marshall",Anthony Kennedy
559,N,,,,,New Energy Company of Indiana,Limbach,,petitioner,October Term 1987,87-654,,1987-093,486 U.S. 269,179,,,Antonin Scalia,9,0,1988-03-29,1988-05-31,Economic Activity,,"Article I, Section 8, Paragraph 3 (interstate commerce clause)",state or local government tax,,,,,,,,,"https://www.oyez.org/cases/1987/87-654",,,,"William Rehnquist,William Brennan,Byron White,Thurgood Marshall,Harry Blackmun,John Paul Stevens,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy",,,
560,N,,,,,City of Lakewood,Plain Dealer Publishing Co.,,respondent,October Term 1987,86-1042,,1987-118,486 U.S. 750,182,,,William Brennan,4,3,1987-11-04,1988-06-17,First Amendment,,"1st Amendment (speech, press, and assembly)","1st Amendment, miscellaneous (cf. comity: First Amendment)",,,,,,,,,"https://www.oyez.org/cases/1987/86-1042",,,,"William Brennan,Thurgood Marshall,Harry Blackmun,Antonin Scalia",,"Byron White,John Paul Stevens,Sandra Day O'Connor","William Rehnquist,Anthony Kennedy"
561,N,,,,,Frisby,Schultz,,petitioner,October Term 1987,87-168,,1987-144,487 U.S. 474,181,,,Sandra Day O'Connor,6,3,1988-04-20,1988-06-27,First Amendment,,"1st Amendment (speech, press, and assembly)","1st Amendment, miscellaneous (cf. comity: First Amendment)",,,,,,,,,"https://www.oyez.org/cases/1987/87-168",,,,"William Rehnquist,Byron White,Harry Blackmun,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy",,"William Brennan,Thurgood Marshall,John Paul Stevens",
562,N,,,,,Bowen,Kendrick,,petitioner,October Term 1987,87-253,,1987-148,487 U.S. 589,176,,,William Rehnquist,5,4,1988-03-30,1988-06-27,First Amendment,,Infrequently litigated statutes,"establishment of religion (other than as pertains to parochiaid:)",,,,,,,,,"https://www.oyez.org/cases/1987/87-253",,,,"Byron White,William Rehnquist,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy",,"Thurgood Marshall,William Brennan,Harry Blackmun,John Paul Stevens",
563,,,,,,Morrison,Olson,,petitioner,October Term 1987,87-1279,,1987-149,487 U.S. 654,177,,,William Rehnquist,7,1,1988-04-26,1988-06-27,Miscellaneous,,Infrequently litigated statutes,miscellaneous,,,,,,,,,"https://www.oyez.org/cases/1987/87-1279","https://en.wikipedia.org/wiki/Morrison_v._Olson","https://conlaw.us/case/morrison-v-olson-1988/",,"William Rehnquist,William Brennan,Byron White,Thurgood Marshall,Harry Blackmun,John Paul Stevens,Sandra Day O'Connor","100,90,93,96,98,101,102",Antonin Scalia,Anthony Kennedy
564,N,,,,,Thompson,Oklahoma,,petitioner,October Term 1987,86-6169,,1987-153,487 U.S. 815,179,,,John Paul Stevens,5,3,1987-11-09,1988-06-29,Criminal Procedure,,8th Amendment (cruel and unusual punishment),"cruel and unusual punishment, death penalty (cf. extra legal jury influence, death penalty)",,,,,,,,,"https://www.oyez.org/cases/1987/86-6169",,,,"William Brennan,Thurgood Marshall,Harry Blackmun,John Paul Stevens,Sandra Day O'Connor",,"William Rehnquist,Byron White,Antonin Scalia",Anthony Kennedy
565,N,,,,,Watson,Fort Worth Bank & Trust,,petitioner,October Term 1987,86-6139,,1987-156,487 U.S. 977,178,,,Sandra Day O'Connor,8,0,1988-01-20,1988-06-29,Civil Rights,,Civil Rights Act of 1964 (Title VII),"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",,,,,,,,,"https://www.oyez.org/cases/1987/86-6139",,,,"William Rehnquist,William Brennan,Byron White,Thurgood Marshall,Harry Blackmun,John Paul Stevens,Sandra Day O'Connor,Antonin Scalia",,,Anthony Kennedy
566,N,,,,,Allegheny Pittsburgh Coal Co.,Commission of Webster County,,petitioner,October Term 1988,"87-1303,87-1310",,1988-021,488 U.S. 336,190,,,William Rehnquist,9,0,1988-12-07,1989-01-18,Economic Activity,,14th Amendment (equal protection),state or local government tax,,,,,,,,,"https://www.oyez.org/cases/1988/87-1303",,,,"William Rehnquist,William Brennan,Byron White,Thurgood Marshall,Harry Blackmun,John Paul Stevens,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy",,,
567,,,,,,Mistretta,United States,,respondent,October Term 1988,87-7028,,1988-023,488 U.S. 361,188,,,Harry Blackmun,8,1,1988-10-05,1989-01-18,Miscellaneous,,Infrequently litigated statutes,miscellaneous,,,,,"https://lonedissent.org/briefs/featured/mistretta-v-united-states",,,,"https://www.oyez.org/cases/1988/87-7028","https://en.wikipedia.org/wiki/Mistretta_v._United_States",,,"William Rehnquist,William Brennan,Byron White,Thurgood Marshall,Harry Blackmun,John Paul Stevens,Sandra Day O'Connor,Anthony Kennedy","98,90,93,96,100,101,102,104",Antonin Scalia,
568,N,,,,,Richmond,J. A. Croson Co.,,respondent,October Term 1988,87-998,,1988-026,488 U.S. 469,187,,,Sandra Day O'Connor,6,3,1988-10-05,1989-01-23,Civil Rights,,14th Amendment (equal protection),affirmative action,,,,,,,,,"https://www.oyez.org/cases/1988/87-998",,,,"William Rehnquist,Byron White,John Paul Stevens,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy",,"William Brennan,Thurgood Marshall,Harry Blackmun",
569,N,,,,,"Texas Monthly, Inc.",Bullock,,petitioner,October Term 1988,87-1245,,1988-029,489 U.S. 1,189,,,William Brennan,6,3,1988-11-01,1989-02-21,First Amendment,,1st Amendment (establishment of religion),"establishment of religion (other than as pertains to parochiaid:)",,,,,,,,,"https://www.oyez.org/cases/1988/87-1245",,,,"William Brennan,Byron White,Thurgood Marshall,Harry Blackmun,John Paul Stevens,Sandra Day O'Connor",,"William Rehnquist,Antonin Scalia,Anthony Kennedy",
570,N,,,,,DeShaney,Winnebago County Dept. of Social Services,,respondent,October Term 1988,87-154,,1988-037,489 U.S. 189,184,,,William Rehnquist,6,3,1988-11-02,1989-02-22,Civil Rights,,14th Amendment (due process),juveniles (cf. rights of illegitimates),,,,,,,,,"https://www.oyez.org/cases/1988/87-154",,,,"William Rehnquist,Byron White,John Paul Stevens,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy",,"William Brennan,Thurgood Marshall,Harry Blackmun",
571,N,,,,,Skinner,Railway Labor Executives' Assn.,,petitioner,October Term 1988,87-1555,,1988-054,489 U.S. 602,185,,,Anthony Kennedy,7,2,1988-11-02,1989-03-21,Criminal Procedure,,4th Amendment,search and seizure (other than as pertains to vehicles or Crime Control Act),,,,,,,,,"https://www.oyez.org/cases/1988/87-1555",,,,"William Rehnquist,Byron White,Harry Blackmun,John Paul Stevens,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy",,"William Brennan,Thurgood Marshall",
572,N,,,,,Treasury Employees,Von Raab,,respondent,October Term 1988,86-1879,,1988-055,489 U.S. 656,184,,,Anthony Kennedy,5,4,1988-11-02,1989-03-21,Criminal Procedure,,4th Amendment,search and seizure (other than as pertains to vehicles or Crime Control Act),,,,,,,,,"https://www.oyez.org/cases/1988/86-1879",,,,"William Rehnquist,Byron White,Harry Blackmun,Sandra Day O'Connor,Anthony Kennedy",,"William Brennan,Thurgood Marshall,John Paul Stevens,Antonin Scalia",
573,N,,,,,Skinner,Mid-America Pipeline Co.,,petitioner,October Term 1988,87-2098,,1988-077,490 U.S. 212,188,,,Sandra Day O'Connor,9,0,1989-03-01,1989-04-25,Economic Activity,,Infrequently litigated statutes,"federal and some few state regulation of public utilities regulation: gas pipeline (cf. federal transportation regulation: pipeline)",,,,,,,,,"https://www.oyez.org/cases/1988/87-2098",,,,"William Rehnquist,William Brennan,Byron White,Thurgood Marshall,Harry Blackmun,John Paul Stevens,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy",,,
574,N,,,,,Patterson,McLean Credit Union,,respondent,October Term 1987,87-107,,1987-076,491 U.S. 164,186,,,Anthony Kennedy,5,4,"1988-02-29,1988-10-12",1989-06-15,Civil Rights,,Reconstruction Civil Rights Acts (42 U.S.C. § 1981),"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions",,,,,,,,,"https://www.oyez.org/cases/1987/87-107",,,,"William Rehnquist,Byron White,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy",,"William Brennan,Thurgood Marshall,Harry Blackmun,John Paul Stevens",
575,,,,,,Texas,Johnson,,respondent,October Term 1988,88-155,,1988-124,491 U.S. 397,190,,47,William Brennan,5,4,1989-03-21,1989-06-21,First Amendment,Flag Burning as Speech,"1st Amendment (speech, press, and assembly)","protest demonstrations (other than as pertains to sit-in demonstrations): demonstrations and other forms of protest based on 1st Amendment guarantees",,,,,"https://lonedissent.org/briefs/featured/texas-v-johnson",,,,"https://www.oyez.org/cases/1988/88-155","https://en.wikipedia.org/wiki/Texas_v._Johnson","https://conlaw.us/case/texas-v-johnson-1989/",,"William Brennan,Thurgood Marshall,Harry Blackmun,Antonin Scalia,Anthony Kennedy","90,96,98,103,104","William Rehnquist,Byron White,John Paul Stevens,Sandra Day O'Connor",
576,N,,,,,County of Allegheny,ACLU Greater Pittsburgh Chapter,,respondent,October Term 1988,"87-2050,88-90,88-96",,1988-151,492 U.S. 573,189,,,Harry Blackmun,5,4,1989-02-22,1989-07-02,First Amendment,,1st Amendment (establishment of religion),"establishment of religion (other than as pertains to parochiaid:)",,,,,,,,,"https://www.oyez.org/cases/1988/87-2050",,,,"William Brennan,Thurgood Marshall,Harry Blackmun,John Paul Stevens,Sandra Day O'Connor",,"William Rehnquist,Byron White,Antonin Scalia,Anthony Kennedy",
577,,,,,,Webster,Reproductive Health Services,,petitioner,October Term 1988,88-605,,1988-150,492 U.S. 490,183,,,William Rehnquist,5,4,1989-04-26,1989-07-03,Privacy,,14th Amendment (due process),"abortion: including contraceptives",,,,,"https://lonedissent.org/briefs/featured/webster-v-reproductive-health-services",,,,"https://www.oyez.org/cases/1988/88-605","https://en.wikipedia.org/wiki/Webster_v._Reproductive_Health_Services",,,"William Rehnquist,Byron White,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy","100,93,102,103,104","William Brennan,Thurgood Marshall,Harry Blackmun,John Paul Stevens",
578,N,,,,,University of Pennsylvania,EEOC,,respondent,October Term 1989,88-493,,1989-014,493 U.S. 182,197,,,Harry Blackmun,9,0,1989-11-07,1990-01-09,First Amendment,,"1st Amendment (speech, press, and assembly)","1st Amendment, miscellaneous (cf. comity: First Amendment)",,,,,,,,,"https://www.oyez.org/cases/1989/88-493",,,,"William Rehnquist,William Brennan,Byron White,Thurgood Marshall,Harry Blackmun,John Paul Stevens,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy",,,
579,N,,,,,Swaggert Ministries,Board of Equalization of California,,respondent,October Term 1989,88-1374,,1989-022,493 U.S. 378,196,,,Sandra Day O'Connor,9,0,1989-10-31,1990-01-17,First Amendment,,1st Amendment (free exercise of religion),free exercise of religion,,,,,,,,,"https://www.oyez.org/cases/1989/88-1374",,,,"William Rehnquist,William Brennan,Byron White,Thurgood Marshall,Harry Blackmun,John Paul Stevens,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy",,,
580,,,,,,Teamsters,Terry,,respondent,October Term 1989,88-1719,,1989-051,494 U.S. 558,,,,Thurgood Marshall,6,3,1989-12-06,1990-03-20,Criminal Procedure,,7th Amendment,"jury trial (right to, as distinct from extra-legal jury influences)",,,,,,,,,"https://www.oyez.org/cases/1989/88-1719",,,,"William Rehnquist,William Brennan,Byron White,Thurgood Marshall,Harry Blackmun,John Paul Stevens","96,90,93,98,100,101","Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy",
581,N,,,,,Missouri,Jenkins,,respondent,October Term 1989,88-1150,,1989-065,495 U.S. 33,,,,Byron White,9,0,1989-10-30,1990-04-18,Civil Rights,,"Federal Rules of Civil Procedure, including Appellate Procedure, or relevant rules of a circuit court Judicial Code, and admiralty rules","desegregation, schools",,,,,,,,,"https://www.oyez.org/cases/1989/88-1150",,,,"William Rehnquist,William Brennan,Byron White,Thurgood Marshall,Harry Blackmun,John Paul Stevens,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy",,,
582,,,,4,,Horton,California,,respondent,October Term 1989,88-7164,,1989-098,496 U.S. 128,,,,John Paul Stevens,7,2,1990-02-21,1990-06-04,Criminal Procedure,"Search and Seizure of\\Evidence in ""Plain View""",4th Amendment,search and seizure (other than as pertains to vehicles or Crime Control Act),,,"The seizure of evidence in plain view does not constitute the invasion of privacy that the Fourth Amendment is meant to prohibit. Once an officer has a warrant to search a suspect’s house, that officer may seize any obviously incriminating evidence that the officer finds in plain view.",,,"https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1989/88-7164/19900221a_88-7164.delivery.mp3",,,"https://www.oyez.org/cases/1989/88-7164","https://en.wikipedia.org/wiki/Horton_v._California",,,"William Rehnquist,Byron White,Harry Blackmun,John Paul Stevens,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy","101,93,98,100,102,103,104","William Brennan,Thurgood Marshall",
583,N,,,,,Board of Education of Westside Community Schools (Dist. 66),Mergens,,respondent,October Term 1989,88-1597,,1989-101,496 U.S. 226,195,,,Sandra Day O'Connor,8,1,1990-01-09,1990-06-04,First Amendment,,Infrequently litigated statutes,"parochiaid: government aid to religious schools, or religious requirements in public schools",,,,,,,,,"https://www.oyez.org/cases/1989/88-1597",,,,"William Rehnquist,William Brennan,Byron White,Thurgood Marshall,Harry Blackmun,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy",,John Paul Stevens,
584,,,,5I,,Illinois,Perkins,,petitioner,October Term 1989,88-1972,,1989-102,496 U.S. 292,,,,Anthony Kennedy,8,1,1990-02-20,1990-06-04,Criminal Procedure,,5th Amendment (Miranda warnings),Miranda warnings,,,"The Fifth Amendment’s self-incrimination clause is not violated where a suspect in custody confesses to an undercover police officer, because the ""essential ingredients of a ‘police-dominated atmosphere’ and compulsion are not present when an incarcerated person speaks freely to someone that he believes to be a fellow inmate.""",,,,,,"https://www.oyez.org/cases/1989/88-1972","https://en.wikipedia.org/wiki/Illinois_v._Perkins",,,"William Rehnquist,William Brennan,Byron White,Harry Blackmun,John Paul Stevens,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy","104,90,93,98,100,101,102,103",Thurgood Marshall,
585,N,,,,,United States,Eichman,,respondent,October Term 1989,"89-1433,89-1434",,1989-103,496 U.S. 310,194,,,William Brennan,5,4,1990-05-14,1990-06-11,First Amendment,,Infrequently litigated statutes,"protest demonstrations (other than as pertains to sit-in demonstrations): demonstrations and other forms of protest based on 1st Amendment guarantees",,,,,,,,,"https://www.oyez.org/cases/1989/89-1433",,,,"William Brennan,Thurgood Marshall,Harry Blackmun,Antonin Scalia,Anthony Kennedy",,"William Rehnquist,Byron White,John Paul Stevens,Sandra Day O'Connor",
586,N,,,,,Michigan Dept. of State Police,Sitz,,petitioner,October Term 1989,88-1897,,1989-109,496 U.S. 444,192,,,William Rehnquist,6,3,1990-02-27,1990-06-14,Criminal Procedure,,4th Amendment,"search and seizure, vehicles",,,,,,,,,"https://www.oyez.org/cases/1989/88-1897",,,,"William Rehnquist,Byron White,Harry Blackmun,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy",,"William Brennan,Thurgood Marshall,John Paul Stevens",
587,,,,,,Cruzan,"Director, Missouri Dept of Health",,respondent,October Term 1989,88-1503,,1989-126,497 U.S. 261,193,,,William Rehnquist,5,4,1989-12-06,1990-06-25,Privacy,,14th Amendment (due process),right to die,,,,,"https://lonedissent.org/briefs/featured/cruzan-v-director-missouri-dept-of-health",,,,"https://www.oyez.org/cases/1989/88-1503","https://en.wikipedia.org/wiki/Cruzan_v._Director,_Missouri_Department_of_Health",,,"William Rehnquist,Byron White,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy","100,93,102,103,104","William Brennan,Thurgood Marshall,Harry Blackmun,John Paul Stevens",
588,N,,,,,Hodgson,Minnesota,,respondent,October Term 1989,"88-1125,88-1309",,1989-133,497 U.S. 417,191,,,John Paul Stevens,6,3,1989-11-29,1990-06-25,Privacy,,14th Amendment (due process),"abortion: including contraceptives",,,,,,,,,"https://www.oyez.org/cases/1989/88-1125",,,,"William Rehnquist,Byron White,John Paul Stevens,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy",,"William Brennan,Thurgood Marshall,Harry Blackmun",
589,N,,,,,Ohio,Akron Center for Reproductive Health,,petitioner,October Term 1989,88-805,,1989-134,497 U.S. 502,192,,,Anthony Kennedy,6,3,1989-11-29,1990-06-25,Privacy,,14th Amendment (due process),"abortion: including contraceptives",,,,,,,,,"https://www.oyez.org/cases/1989/88-805",,,,"William Rehnquist,Byron White,John Paul Stevens,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy",,"William Brennan,Thurgood Marshall,Harry Blackmun",
590,,,,,,Metro Broadcasting Inc.,Federal Communications\\Commission,,respondent,October Term 1989,89-453,,1989-136,497 U.S. 547,199,,,William Brennan,5,4,1990-03-28,1990-06-27,Civil Rights,,5th Amendment (equal protection),affirmative action,,,,,"https://lonedissent.org/briefs/featured/metro-broadcasting-inc-v-fcc",,,,"https://www.oyez.org/cases/1989/89-700","https://en.wikipedia.org/wiki/Metro_Broadcasting,_Inc._v._FCC",,,"William Brennan,Byron White,Thurgood Marshall,Harry Blackmun,John Paul Stevens","90,93,96,98,101","William Rehnquist,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy",
591,N,,,,,Maryland,Craig,,petitioner,October Term 1989,89-478,,1989-141,497 U.S. 836,198,,,Sandra Day O'Connor,5,4,1990-04-18,1990-06-27,Criminal Procedure,,"6th Amendment (right to confront and cross-examine, compulsory process)","confrontation (right to confront accuser, call and cross-examine witnesses)",,,,,,,,,"https://www.oyez.org/cases/1989/89-478",,,,"William Rehnquist,Byron White,Harry Blackmun,Sandra Day O'Connor,Anthony Kennedy",,"William Brennan,Thurgood Marshall,John Paul Stevens,Antonin Scalia",
592,,,,,,Cottage Savings Association,Commissioner of Internal Revenue,,petitioner,October Term 1990,89-1965,,1990-061,499 U.S. 554,,,,Thurgood Marshall,7,2,1991-01-15,1991-04-17,Federal Taxation,,Internal Revenue Code and pre-IRC revenue acts,"federal taxation, typically under provisions of the Internal Revenue Code",,,,,,,,,"https://www.oyez.org/cases/1990/89-1965",,,,"William Rehnquist,Thurgood Marshall,John Paul Stevens,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy,David Souter","96,100,101,102,103,104,105","Byron White,Harry Blackmun",
593,,46,,1S,,Barnes,Glen Theatre,,petitioner,October Term 1990,90-26,,1990-117,501 U.S. 560,,22,,William Rehnquist,5,4,1991-01-08,1991-06-21,First Amendment,Regulation of Totally Nude Dancing,1st Amendment,"obscenity, state (cf. comity: privacy): including the regulation of sexually explicit material under the 21st Amendment",,,"""[T]he requirement that the dancers don pasties and G-strings does not deprive the dance of whatever erotic message it conveys; it simply makes the message slightly less graphic.""",Chief Justice William Rehnquist,,"https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1990/90-26/19910621o_90-26.delivery.mp3,https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1990/90-26/19910108a_90-26.delivery.mp3",,,"https://www.oyez.org/cases/1990/90-26","https://en.wikipedia.org/wiki/Barnes_v._Glen_Theatre,_Inc.",,,"William Rehnquist,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy,David Souter","100,102,103,104,105","Byron White,Thurgood Marshall,Harry Blackmun,John Paul Stevens",
594,034,85,1,10,,New York,United States,,petitioner,October Term 1991,"91-543,91-558,91-563",,1991-099,505 U.S. 144,,,,Sandra Day O'Connor,6,3,1992-03-30,1992-06-19,Federalism,Low-Level Radioactive Waste Management Act,"Article I § 8: Commerce Clause","national supremacy: pollution, air or water (cf. natural resources - environmental protection)",,,"""[The Constitution] does not, however, authorize Congress simply to direct the States to provide for the disposal of the radioactive waste generated within their borders.""",Justice Sandra Day O'Connor,,"https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1991/91-543/19920619o_91-543.delivery.mp3,https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1991/91-543/19920330a_91-543.delivery.mp3",,,"https://www.oyez.org/cases/1991/91-543","https://en.wikipedia.org/wiki/New_York_v._United_States","https://conlaw.us/case/new-york-v-united-states-1992/",,"William Rehnquist,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy,David Souter,Clarence Thomas","102,100,103,104,105,106","Byron White,Harry Blackmun,John Paul Stevens",
595,,,,,,R.A.V.,City of St. Paul,,petitioner,October Term 1991,90-7675,,1991-105,505 U.S. 377,,,,Antonin Scalia,9,0,1991-12-04,1992-06-22,First Amendment,,"1st Amendment (speech, press, and assembly)","protest demonstrations (other than as pertains to sit-in demonstrations): demonstrations and other forms of protest based on 1st Amendment guarantees",,,,,,,,,"https://www.oyez.org/cases/1991/90-7675","https://en.wikipedia.org/wiki/R.A.V._v._City_of_St._Paul","https://conlaw.us/case/rav-v-city-of-st-paul-1992/",,"William Rehnquist,Byron White,Harry Blackmun,John Paul Stevens,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy,David Souter,Clarence Thomas","103,93,98,100,101,102,104,105,106",,
596,,,,,,United States,Fordice,,petitioner,October Term 1991,"90-1205,90-6588",,1991-113,505 U.S. 717,,,,Byron White,8,1,1991-11-13,1992-06-26,Civil Rights,,14th Amendment (equal protection),"desegregation, schools",,,,,,,,,"https://www.oyez.org/cases/1991/90-1205",,,,"William Rehnquist,Byron White,Harry Blackmun,John Paul Stevens,Sandra Day O'Connor,Anthony Kennedy,David Souter,Clarence Thomas","93,98,100,101,102,104,105,106",Antonin Scalia,
597,,,,,,Planned Parenthood,Casey,,petitioner,October Term 1991,91-744,,1991-117,505 U.S. 833,,,48,"Sandra Day O'Connor,Anthony Kennedy,David Souter",5,4,1992-04-22,1992-06-29,Privacy,Abortion and Undue Burden,14th Amendment (due process),"abortion: including contraceptives",,,,,"https://lonedissent.org/briefs/featured/planned-parenthood-v-casey",,,,"https://www.oyez.org/cases/1991/91-744","https://en.wikipedia.org/wiki/Planned_Parenthood_v._Casey","https://conlaw.us/case/planned-parenthood-v-casey-1992/",,"Harry Blackmun,John Paul Stevens,Sandra Day O'Connor,Anthony Kennedy,David Souter","98,101,102,104,105","William Rehnquist,Byron White,Antonin Scalia,Clarence Thomas",
598,,,,,,Church of Lukumi Babalu Aye,City of Hialeah,,petitioner,October Term 1992,91-948,,1992-093,508 U.S. 520,,,,Anthony Kennedy,9,0,1992-11-04,1993-06-11,First Amendment,,1st Amendment (free exercise of religion),free exercise of religion,,,,,,,,,"https://www.oyez.org/cases/1992/91-948","https://en.wikipedia.org/wiki/Church_of_the_Lukumi_Babalu_Aye_v._City_of_Hialeah","https://conlaw.us/case/church-of-the-lukumi-babalu-aye-v-city-of-hialeah-1993/",,"William Rehnquist,Byron White,Harry Blackmun,John Paul Stevens,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy,David Souter,Clarence Thomas","104,93,98,100,101,102,103,105,106",,
599,046,98,1,A1S8C3,,United States,Lopez,,respondent,October Term 1994,93-1260,,1994-051,514 U.S. 549,,164,49,William Rehnquist,5,4,1994-11-08,1995-04-26,Federalism,Gun-Free School Zones Act of 1990,"Article I § 8: Commerce Clause","national supremacy: miscellaneous",,,"""The possession of a gun in a local school zone is in no sense an economic activity that might, through repetition elsewhere, substantially affect any sort of interstate commerce.""",Chief Justice William Rehnquist,,"https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1994/93-1260/19950426o_93-1260.delivery.mp3,https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1994/93-1260/19941108a_93-1260.delivery.mp3",,,"https://www.oyez.org/cases/1994/93-1260","https://en.wikipedia.org/wiki/United_States_v._Lopez","https://conlaw.us/case/united-states-v-lopez-1995/",,"William Rehnquist,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy,Clarence Thomas","100,102,103,104,106","John Paul Stevens,David Souter,Ruth Bader Ginsburg,Stephen Breyer",
600,,,,,,Adarand Constructors,Peña,,petitioner,October Term 1994,93-1841,,1994-069,515 U.S. 200,,5,,Sandra Day O'Connor,5,4,1995-01-17,1995-06-12,Civil Rights,,5th Amendment (equal protection),affirmative action,,,,,"https://lonedissent.org/briefs/featured/adarand-constructors-v-pena",,,,"https://www.oyez.org/cases/1994/93-1841","https://en.wikipedia.org/wiki/Adarand_Constructors,_Inc._v._Pe%C3%B1a",,,"William Rehnquist,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy,Clarence Thomas","102,100,103,104,106","John Paul Stevens,David Souter,Ruth Bader Ginsburg,Stephen Breyer",
601,,,,,,Hurley,"Irish-American Gay, Lesbian and Bisexual Group of Boston",,petitioner,October Term 1994,94-749,,1994-083,515 U.S. 557,,,,David Souter,9,0,1995-04-25,1995-06-19,First Amendment,,"1st Amendment (speech, press, and assembly)","protest demonstrations (other than as pertains to sit-in demonstrations): demonstrations and other forms of protest based on 1st Amendment guarantees",,,,,,,,,"https://www.oyez.org/cases/1994/94-749",,,,"William Rehnquist,John Paul Stevens,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy,David Souter,Clarence Thomas,Ruth Bader Ginsburg,Stephen Breyer","105,100,101,102,103,104,106,107,108",,
